geography,gender,total,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,hispanic_or_latino,white_alone__not_hispanic_or_latino,incarceration_rate,incarceration_rate__white_alone,incarceration_rate__black_or_african_american_alone,incarceration_rate__american_indian_and_alaska_native_alone,incarceration_rate__asian_alone,incarceration_rate__native_hawaiian_and_other_pacific_islander_alone,incarceration_rate__some_other_race_alone,incarceration_rate__two_or_more_races,incarceration_rate__hispanic_or_latino,incarceration_rate__white_alone__not_hispanic_or_latino
Wyoming,M,3063,2493,140,241,8,6,108,67,469,2192,1065.6248151768909,958.84615384615392,4884.8569434752271,3599.1636798088407,415.80041580041581,2714.9321266968327,1138.5199240986717,1073.0301089045483,1774.2301581296815,891.1040014309699
Puerto Rico,M,12513,8564,2694,211,10,1,873,160,12242,134,700.94125436722868,639.634801690058,1162.2388845267781,2158.3469721767597,324.78077297823972,571.42857142857144,614.69349819042122,269.19711959082036,693.21636652017503,979.81866042702541
United States,F,203384,126331,58072,5132,1899,717,8293,2940,28540,108010,129.57348519674028,111.40329197164284,285.15101803558588,349.37494426135316,24.651705413807885,269.58941194164538,90.18557370117766,64.396182839600058,114.80846576869337,107.95540587169663
Alabama,F,5189,3311,1763,14,7,1,24,69,298,3053,210.9737236272681,198.26976544764594,263.59424129563371,98.814229249011845,24.764735017335312,71.479628305932806,59.050759048298595,190.11406844106463,364.21858003642183,186.48089838226446
Alaska,F,607,278,23,228,2,5,3,68,43,247,178.21334515550362,124.44436486371551,221.92203782323426,439.27250308261404,9.8488206037327028,137.96909492273733,57.636887608069166,263.50461133069831,224.88363579310703,115.23048429459817
Arizona,F,6627,3910,667,729,82,5,1071,163,2351,2860,206.05100314222341,165.81532583135606,541.27308728535729,481.97709782349983,86.759633493450707,87.950747581354449,286.36669910908142,148.89380126788095,249.21583405681187,153.018831481859
Arkansas,F,2453,1733,625,32,7,2,20,34,75,1690,165.26520247850644,151.92851907829447,264.66117018348427,284.14136032676254,36.534446764091861,70.821529745042497,44.093654923056569,117.81828262526855,86.408516423378686,152.75372484082882
California,F,22249,11984,5318,558,585,132,3065,607,7575,7591,118.74920140908532,111.49642172218988,457.38878993228616,311.03332181358064,22.845868881114782,181.70555440842452,98.960830560654273,66.32125711014136,109.25074755635283,101.07141558965671
Colorado,F,3682,2745,528,147,31,8,146,77,1101,1877,146.77895535798999,134.30857505207211,555.66079434236281,533.34300848994985,40.845367344787604,244.87297214569941,82.872144174826175,88.698436834041772,216.35408970146673,106.41041994415862
Connecticut,F,2625,1295,805,26,51,4,359,85,804,955,143.09208643525179,90.935966333328409,424.50641241984471,463.54073809948295,72.830091680233053,575.5395683453238,369.52404479578394,179.74201733981815,335.43186853073331,72.934502525595803
Delaware,F,421,236,175,1,3,2,1,3,2,235,90.929707664229639,74.239516813992267,172.88560900190669,48.146364949446316,20.218358269308531,990.09900990099015,7.014590347923682,23.982732432648493,5.6665250035415777,77.698279396400096
District of Columbia,F,463,46,386,2,4,0,4,21,26,32,145.82631235807131,39.406841370330078,231.67459922094915,190.47619047619048,32.655726998122297,0,35.373187124159884,223.28548644338116,98.146540334453221,30.258616613871684
Florida,F,16133,10330,5261,61,59,5,241,176,1809,8962,167.84306626487538,143.44974842830177,337.98173318266237,176.73987367445093,24.079765242695466,83.766124979058461,73.556117824081852,73.001480768672408,84.653440327045857,161.50061134883285
Georgia,F,9106,4869,4068,19,30,1,65,54,312,4686,183.64491390711916,166.25152158213811,259.15284794200278,121.95121951219512,18.460970431679023,31.565656565656568,37.613999351881859,50.945318691271368,79.341062305620753,170.23737687670723
Hawaii,F,1096,285,27,8,197,439,14,126,101,257,161.40005713797643,183.39532309751482,330.96347143907821,412.15868109222055,70.382027931304279,659.22844743441499,182.93479681170783,79.041465403676057,169.01502727668262,180.64624965733444
Idaho,F,1473,1287,31,60,3,4,62,26,197,1164,188.30104645781827,184.04407905744262,762.79527559055123,557.82818891781335,28.32058906825262,374.53183520599254,167.56303883678819,133.42228152101399,233.70583908700502,176.3783345581829
Illinois,F,5736,2832,2672,53,44,2,97,36,456,2517,87.728474864323687,60.763535013056007,269.15731197266524,247.51319292018866,14.451104359963871,101.5744032503809,23.572640184304024,24.727482536215454,46.484649362008383,60.392819660850051
